"ra"	"dec"
239.914738005367	-17.7998525319855
239.488974866608	-17.240905219554
243.281651878685	-26.0798683404152
242.885875308088	-25.7316628908673
243.878898990807	-25.9462897450701
245.106653993086	-21.099359474029
243.105104237431	-26.1688912782665
244.338208625466	-20.4813912737704
242.61151875103	-21.4427365105552
243.260896344329	-25.1844258134883
243.270461084187	-20.9262469879287
243.47435569033	-25.9131770200978
243.395289864966	-24.0460535387112
242.551806153732	-14.9496207800828
243.539581082194	-25.6643283966605
244.457606023805	-20.4608906123534
243.678371014079	-22.8008597247424
241.807043792269	-22.7527121245125
242.415701929237	-25.183881562207
244.730137204184	-22.0827485127211
245.234157286604	-22.5869007279644
240.974603487689	-14.8975411188284
241.020889793767	-23.5688090398497
243.530351341933	-20.8455313277356
243.781274929587	-24.548214509075
241.84129461934	-26.732264342867
246.989507368441	-21.9787939073085
240.711167714015	-20.80337319353
239.433281371236	-17.6061465956145
246.3447538735	-21.6293541628857
241.81119633781	-26.7350976123905
244.741359710674	-26.2050649728455
243.265608690437	-25.1288723401381
241.07240929338	-25.9410217785387
237.906444522112	-22.2092357701136
240.873571426174	-25.5525362801093
244.157364640035	-20.2993315667624
241.631885080663	-15.8987898811237
242.518392479093	-15.8913925595344
240.619246697189	-16.5498569042865
240.183236258578	-25.8021559313573
239.938487166577	-25.7247992789144
237.255629930889	-23.0992779969412
242.194748190276	-25.490334677793
240.828965194519	-22.840176544524
240.942192573292	-25.357746144365
241.823830564184	-16.2363507925099
241.477816132041	-25.4936260572611
237.931984871739	-22.1887209447525
239.807574831842	-16.618368434736
241.278234547184	-14.9528535362154
243.381501072782	-22.6153697596541
241.1269263444	-26.6447574520965
241.562330305561	-26.9046221459926
240.91725534296	-25.8646933181214
245.313392390557	-24.4623550526462
239.019674172942	-21.7473537069952
247.095571668923	-22.7613971173451
242.122368023775	-26.7404176962412
242.859633363234	-20.9705505585298
240.85944385899	-25.5105462287222
242.145738093052	-23.3015540897173
243.669921668609	-22.670352469339
242.002942618117	-23.331508993761
241.386961602334	-15.1462296403592
241.309560987167	-20.9791553141091
244.248431899925	-20.6787155160992
245.079447206472	-23.390833691941
243.492809091285	-22.4130646231964
240.51672746025	-16.1853266963574
243.490319236941	-22.6004288487592
245.659104576496	-25.9270506135025
240.741418596501	-25.8540737590697
245.03688895478	-22.0874739090391
241.583865420622	-16.7784433013006
243.654382851358	-24.4299384763193
243.538446607404	-22.1935486114682
239.709453285307	-24.8987552617664
243.713673043295	-22.9166454134676
243.323924826337	-26.2144581874208
242.602316840632	-14.9626222795796
240.683699189048	-25.7677898569604
245.098967213533	-22.7315325402681
242.125267560789	-21.4970550895999
238.947752005651	-21.9054815367941
241.231797739944	-15.2660560669342
240.642884427142	-26.9171814098327
244.391947546115	-23.491001575486
241.807485296483	-23.1184101851583
242.034342031996	-16.2871746251387
241.027651162444	-15.1453260355735
241.152255512187	-14.9049706154576
244.215006302169	-20.5665233669823
240.298082275698	-25.1270273730015
241.288182316219	-15.3232271617064
238.999496313787	-24.9185952077811
239.372753601	-22.7070065165714
240.008635355001	-21.9047941240536
238.894647880881	-25.0378355495524
239.736107941079	-25.4087696858416
241.709997609589	-26.8058669326497
239.157541692278	-20.7615041222008
242.169496815447	-26.1614325415956
244.621277193958	-24.9839561817901
242.356843244419	-21.5367750314617
245.136199629167	-22.2133563039223
245.358074937929	-21.8496764967105
243.61083215928	-26.0893376148398
239.043512720814	-22.0561691871897
246.488225476897	-21.9644815214181
244.966606415037	-21.6855447476563
239.491448901318	-24.6054045095767
240.525660097149	-25.5010009498999
242.053243345986	-14.8655153311264
243.620369243738	-22.5689636578057
242.300414050851	-25.696897182333
246.192620720772	-21.6267090435557
245.973199779018	-23.3363796434429
244.381571101538	-26.2221041246006
239.413980594065	-17.485210524877
244.472407303162	-24.1983037887198
244.612851430199	-24.1451528388182
239.607384803989	-22.2800052592782
244.367458878604	-23.5262320428023
243.302833720187	-26.2687176988891
243.632638370214	-24.1003658037873
242.869691960534	-23.936226553475
244.890551697853	-20.9743387419734
243.536520061936	-26.0013170878047
244.597658748022	-24.0017651767286
242.592131920236	-21.6017803832951
239.282461553073	-21.1026646962449
242.671064213874	-25.1900412608193
241.049053605672	-23.0245138931581
241.408664888322	-15.2181509638575
246.872312653957	-21.5672909850739
243.318424971314	-16.6326349453846
243.013543870513	-25.3887693559124
239.47716330206	-25.3270328870555
241.081878292628	-14.8355035846414
243.045843971031	-22.3719951577763
243.031375804064	-24.6991396860356
238.921841422404	-24.7924160736831
244.736007166492	-22.9202712472365
242.035745069958	-26.3921388192963
242.140674344767	-23.5369384006946
245.258582297825	-22.445599971029
242.438884785909	-26.558021941839
245.295058028048	-26.2884030315712
244.658972192815	-22.5110940897295
246.908239061345	-21.1986859636906
247.674113391734	-20.8655623008066
242.145046034429	-26.1069522317501
239.8144611838	-17.9552081049977
243.759295572431	-22.8644714844417
242.893930725988	-25.5869461357136
245.967046201479	-23.898301843984
243.460878298407	-24.5354561457199
241.947609104601	-24.6260994855219
243.044831009473	-24.9337094724612
241.577867840167	-26.8492494870767
238.777918655806	-23.1496922071327
240.272346895909	-25.1837587844718
243.579656546793	-21.8193453330238
239.056894524265	-24.8943222911359
245.023379064266	-22.1992898411191
243.599509960396	-23.7534211129723
244.791564627862	-22.7566982236289
244.418884865781	-20.8850145069676
241.517515328261	-26.0817352639254
243.091009122642	-22.5415550601515
238.828685928211	-24.8020447072717
247.310162225184	-23.1989899909374
243.355466084543	-24.3123631074526
244.955180083649	-23.2717069068797
239.981126854098	-25.8089553288768
242.004502159673	-24.6679006687893
240.971489626814	-14.9128715050114
239.373122665496	-22.1620180000459
239.295124590813	-23.7716930940098
240.47728833069	-25.2533057023982
243.79416649242	-25.7522975093041
239.357422600244	-21.9293646587568
242.39959167572	-21.6815760037389
246.835106233242	-25.783830338844
244.136561692023	-23.5865208088483
242.506638995564	-25.967022168996
247.058127682939	-24.502062006015
244.741117438844	-21.957701072889
244.764400539454	-22.1116317103179
244.383312407702	-26.1473768406688
242.283150365284	-24.6501819925021
241.518511239608	-24.5864209907187
241.478074625074	-24.2351120366181
244.479338845217	-24.4532948684586
241.6282227418	-26.6810291692832
244.794469502813	-20.9157771763469
242.163367614843	-24.6625239408337
242.042033505292	-26.0904842718991
246.751008162278	-25.7427855758137
242.371591199074	-21.487386102749
244.620024892543	-20.4409690304033
246.16672630055	-22.370139597367
243.522050989713	-26.1076496066864
242.585790168064	-25.347122893811
243.46920247821	-24.6095555992966
247.328688700545	-21.5008912670804
239.944303026304	-17.733788871651
247.318178871904	-21.7701580083188
246.603518280511	-25.1279392466491
244.658849487119	-22.3998789298114
243.723147175769	-23.7219002820406
238.646884806221	-21.8976378263215
244.976573522819	-21.3674551187942
246.215627144616	-24.978415173554
244.603862634921	-26.2829515881858
238.981346152982	-24.628056362333
242.356041986636	-16.1606006979999
243.564699072675	-22.5321156514946
244.524025414921	-26.2039160706238
243.654429055774	-24.2225981985732
242.69488714808	-21.1107108309691
242.503934172113	-25.7498783209919
242.750809840793	-16.3280457001732
243.419860927484	-20.5056858343127
243.287585856029	-22.1381683810533
241.290789880296	-16.3159600540858
241.812142082064	-23.2677044702459
244.017016427638	-23.6101530876845
239.334534646948	-21.1838457041833
238.79363675814	-23.2739887536747
241.31830827933	-15.2089712580787
244.516951931674	-20.2332804115279
242.964962251775	-25.7184954875415
246.560058486968	-22.8758207477038
246.374705632884	-21.559861651816
243.323737122376	-26.2305068430312
243.985293407418	-21.9272081069247
245.016784508994	-23.3538101793277
243.376684178359	-25.9986632396579
243.54725471339	-22.3111382681164
239.46923588712	-25.4005030007735
240.858803411079	-25.7298898187269
242.35998329003	-23.3708514617266
240.093987333656	-25.6415499165237
239.650412302332	-22.6326002071021
240.783173308823	-25.4106370939018
242.342368833151	-23.3297061448884
243.554563358919	-22.6636436712741
242.666502528761	-22.0146762997368
241.506526986195	-26.9335697156451
241.692502759495	-24.2044700709494
239.468488766253	-21.8357198282462
244.827193711562	-24.855831089545
243.535873436865	-21.7635451703688
246.907964112625	-24.6371239773579
